rc,nbonds,nbeads,frac_bonds_on,beadind_p_diff,beadind_nl_diff,beadind_p_sums,beadind_nl_sums,s_bias,p_bonds,nl_bonds,structure_id
1.5,10,46,0.3,0.391304348,3.413043478,1.152173913,2.369565217,-14.90688404,"[[6, 10], [10, 14], [16, 26]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.391304348,3.413043478,0.586956522,2.369565217,-14.9202111,"[[14, 18], [16, 26], [26, 30]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.4,0.347826087,3.413043478,1.043478261,2.369565217,-14.95847124,"[[10, 14], [14, 18], [22, 26], [26, 30]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.391304348,3.413043478,0.369565217,2.369565217,-15.11782136,"[[16, 26], [22, 26], [26, 30]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.391304348,3.413043478,0.934782609,2.369565217,-15.17285688,"[[6, 10], [16, 26], [26, 30]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.391304348,3.413043478,0.760869565,2.369565217,-15.29230933,"[[10, 14], [16, 26], [26, 30]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,0.826086957,3.413043478,0.260869565,2.369565217,-15.9056792,"[[4, 32], [16, 26]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,0.913043478,3.413043478,0.260869565,2.369565217,-16.06895017,"[[2, 34], [16, 26]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,0.869565217,3.413043478,0.260869565,2.369565217,-16.09339241,"[[3, 33], [16, 26]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,1.5,3.413043478,0.239130435,2.369565217,-16.24944493,"[[2, 34], [3, 40]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.782608696,3.413043478,0.717391304,2.369565217,-16.25258637,"[[4, 32], [10, 14], [22, 26]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.826086957,3.413043478,0.717391304,2.369565217,-16.27346391,"[[3, 33], [10, 14], [22, 26]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.782608696,3.413043478,0.543478261,2.369565217,-16.29498238,"[[4, 32], [14, 18], [22, 26]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.869565217,3.413043478,0.717391304,2.369565217,-16.30564237,"[[2, 34], [10, 14], [22, 26]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.782608696,3.413043478,0.891304348,2.369565217,-16.34157918,"[[4, 32], [6, 10], [22, 26]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.826086957,3.413043478,0.543478261,2.369565217,-16.35383606,"[[3, 33], [14, 18], [22, 26]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.869565217,3.413043478,0.543478261,2.369565217,-16.35573427,"[[2, 34], [14, 18], [22, 26]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.826086957,3.413043478,0.891304348,2.369565217,-16.36284293,"[[3, 33], [6, 10], [22, 26]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.782608696,3.413043478,1.108695652,2.369565217,-16.36541021,"[[4, 32], [6, 10], [14, 18]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.869565217,3.413043478,0.717391304,2.369565217,-16.37271521,"[[2, 34], [14, 18], [26, 30]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.869565217,3.413043478,0.891304348,2.369565217,-16.38156407,"[[2, 34], [6, 10], [22, 26]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.826086957,3.413043478,0.934782609,2.369565217,-16.39989392,"[[3, 33], [10, 14], [14, 18]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.826086957,3.413043478,0.891304348,2.369565217,-16.40177447,"[[3, 33], [10, 14], [26, 30]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.869565217,3.413043478,0.891304348,2.369565217,-16.42144829,"[[2, 34], [10, 14], [26, 30]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.826086957,3.413043478,1.108695652,2.369565217,-16.44407095,"[[3, 33], [6, 10], [14, 18]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.869565217,3.413043478,1.108695652,2.369565217,-16.45251775,"[[2, 34], [6, 10], [14, 18]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.782608696,3.413043478,1.065217391,2.369565217,-16.4727241,"[[4, 32], [6, 10], [26, 30]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.869565217,3.413043478,0.934782609,2.369565217,-16.47285203,"[[2, 34], [10, 14], [14, 18]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.782608696,3.413043478,0.891304348,2.369565217,-16.4740842,"[[4, 32], [10, 14], [26, 30]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.869565217,3.413043478,1.065217391,2.369565217,-16.47800432,"[[2, 34], [6, 10], [26, 30]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.826086957,3.413043478,0.717391304,2.369565217,-16.49385026,"[[3, 33], [14, 18], [26, 30]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.782608696,3.413043478,0.934782609,2.369565217,-16.50674369,"[[4, 32], [10, 14], [14, 18]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.826086957,3.413043478,1.065217391,2.369565217,-16.51117518,"[[3, 33], [6, 10], [26, 30]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.782608696,3.413043478,0.717391304,2.369565217,-16.55697789,"[[4, 32], [14, 18], [26, 30]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.782608696,3.413043478,1.282608696,2.369565217,-16.6080614,"[[4, 32], [6, 10], [10, 14]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.2,1.02173913,3.413043478,0.108695652,2.369565217,-16.61168779,"[[3, 40], [16, 26]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
1.5,10,46,0.3,0.97826087,3.413043478,0.391304348,2.369565217,-16.63345047,"[[3, 40], [14, 18], [22, 26]]","[[2, 34], [3, 33], [3, 40], [4, 32], [6, 10], [10, 14], [14, 18], [16, 26], [22, 26], [26, 30]]",
