bits,s_bias
0001111001,25.396147855122884
0001111010,25.584342892964678
0001111011,22.217633863290153
0001111100,22.537057542800902
0001111101,18.903986970583595
0001111110,19.41500119368235
0001111111,15.323668917020163
0010000000,39.58227980004418
0010000001,36.07245883970034
0010000010,36.10297304335094
0010000011,32.38356005634581
0010000100,32.72345206851051
0010000101,28.64225449051176
0010000110,29.61386440140861
0010000111,25.01369485457738
0010001000,36.119754494939535
0010001001,32.625792805353804
0010001010,32.63337400981358
0010001011,28.983149381478626
0010001100,29.25257038786298
0010001101,25.36085221767426
0010001110,26.13587371905645
0010001111,21.7269745071729
0010010000,36.10102579139528
0010010001,32.54049370629447
0010010010,32.567092386881505
0010010011,28.892530830701194
0010010100,29.13631081013452
0010010101,24.9757906238238
0010010110,25.94537766774495
0010010111,21.41273820400238
0010011000,32.318923061234614
0010011001,28.91532304286957
0010011010,28.867766594886778
0010011011,25.29380745490392
0010011100,25.436876837412516
0010011101,21.553439203898115
0010011110,22.39842088619868
0010011111,17.906282087167106
0010100000,36.08611952208337
0010100001,32.56047877016522
0010100010,32.56995264121464
0010100011,28.873912827173868
0010100100,29.29604213351295
0010100101,25.135287916660314
0010100110,26.08432379166285
0010100111,21.509446851412456
0010101000,32.642901689098
0010101001,29.10614978869756
0010101010,29.117914990584055
0010101011,25.46436047554016
0010101100,25.791986425717678
0010101101,21.81220846176148
0010101110,22.590911531448363
0010101111,18.177655796209972
0010110000,32.28185202337447
0010110001,28.786066683133445
0010110010,28.886638383070622
0010110011,25.29650868574778
0010110100,25.458695272604626
0010110101,21.232332364718122
0010110110,22.196921130021412
0010110111,17.575256129105885
0010111000,28.310675191879273
0010111001,25.007078448931377
0010111010,24.850822369257607
0010111011,21.23166497548421
0010111100,21.57165093421936
0010111101,17.7509782910347
0010111110,18.5053866704305
0010111111,14.177149534225464
0011000000,32.523204559939245
0011000001,29.00842313652947
0011000010,29.132020484833493
0011000011,25.26024163166682
0011000100,26.168509685993197
0011000101,21.882425872484845
0011000110,22.967346123854316
0011000111,18.12901079257329
0011001000,29.121642976147786
0011001001,25.60065542856852
0011001010,25.699532846609753
0011001011,21.891274086634315
0011001100,22.54414710601171
0011001101,18.585251021385194
0011001110,19.379970399538674
0011001111,14.774953782558441
0011010000,29.11528362262817
0011010001,25.56115278402964
0011010010,25.67334570089976
0011010011,21.90999373992284
0011010100,22.771952156225836
0011010101,18.674617803096773
0011010110,19.6321108063062
0011010111,14.943358302116392
0011011000,25.538161544005078
0011011001,22.109868403275808
0011011010,22.166966994603474
0011011011,18.58151066303253
0011011100,18.789978754520416
0011011101,15.001983344554901
0011011110,15.627190848191578
0011011111,11.264039039611816
0011100000,29.02227573905672
0011100001,25.427459220091503
0011100010,25.586523775259653
0011100011,21.82632506688436
0011100100,22.83180433511734
0011100101,18.72769500811895
0011100110,19.713663427035016
0011100111,15.031019747257233
0011101000,25.563706791400907
0011101001,22.056458087762195
0011101010,22.23195601304372
0011101011,18.528269390265145
0011101100,19.213922071456913
0011101101,15.363865991433462
0011101110,16.10548726717631
0011101111,11.687341292699179
0011110000,25.24502308766047
0011110001,21.698115094502768
0011110010,21.827739508946735
0011110011,18.163182973861694
0011110100,19.287792940934498
0011110101,15.530571420987448
0011110110,16.082375387350716
0011110111,11.845280090967814
0011111000,21.392943863073988
0011111001,18.108713885148365
0011111010,18.114680329958595
0011111011,14.74517277876536
0011111100,15.112418711185455
0011111101,11.715717236200968
0011111110,11.950292944908142
0011111111,8.03085732460022
0100000000,39.95968587937809
0100000001,36.39492243783815
0100000010,36.431331632534665
0100000011,32.66646981466385
0100000100,33.306855787549694
0100000101,29.144213238216576
0100000110,30.136774890763423
0100000111,25.445171622435254
0100001000,36.46193812688192
0100001001,33.00999362014589
0100001010,32.90303374585651
0100001011,29.213773242632552
0100001100,29.728119104816802
0100001101,25.78628049691518
0100001110,26.523221782843276
0100001111,22.05329385995865
0100010000,36.339366446790244
0100010001,32.93627599193936
0100010010,32.963617230029335
0100010011,29.325443530082705
0100010100,29.833007907299766
0100010101,25.71382759809494
0100010110,26.62670389811198
0100010111,22.056924843788146
0100011000,32.87011237258003
0100011001,29.395364069938662
0100011010,29.457024880250298
0100011011,25.72362021605174
0100011100,25.99031089941661
0100011101,22.049095265070598
0100011110,22.80306961139043
0100011111,18.48923126856486
0100100000,36.33379636605581
0100100001,32.841356065727425
0100100010,32.91808243081683
0100100011,29.181767757733663
0100100100,29.81165292376564
0100100101,25.77370885213216
0100100110,26.70244900385538
0100100111,22.07795866727829
0100101000,32.97594748110998
0100101001,29.52975347042084
0100101010,29.56753421624501
0100101011,25.900821212927504
0100101100,26.182220498720806
0100101101,22.499736205736795
0100101110,23.184223786989843
0100101111,18.77755641937256
0100110000,32.73305962085725
0100110001,29.296056783199315
0100110010,29.35807969967524
0100110011,25.741134186585743
0100110100,26.319537317752843
0100110101,22.332086777687074
0100110110,23.30104074080785
0100110111,18.649967650572457
0100111000,28.9340690334638
0100111001,25.55374356508255
0100111010,25.693300775686897
0100111011,22.16032834847768
0100111100,22.29113975763321
0100111101,18.673702915509544
0100111110,19.240518252054848
0100111111,14.945339997609457
0101000000,36.03032603349004
0101000001,32.55526623839423
0101000010,32.55839511950811
0101000011,28.74675333102544
0101000100,29.54960944936389
0101000101,25.37330387830734
0101000110,26.40978459517161
0101000111,21.64421008427938
0101001000,32.61908814282644
0101001001,29.157229622205097
0101001010,29.148305090268455
0101001011,25.543490397930146
0101001100,26.03658740520477
0101001101,22.11101038853327
0101001110,22.82173471053441
0101001111,18.381803055604298
0101010000,32.5501478155454
0101010001,29.087990411122636
0101010010,29.0447971701622
0101010011,25.42329004208247
0101010100,26.161041009426114
0101010101,22.085427590211232
0101010110,23.027919276555377
